Probe Set ID,Arabidopsis Gene ID,Gene Description
262039_at,AT1G80050,"Encodes an adenosine phosphoribosyl transferase(E.C:2.4.2.7), a constitutively expressed enzyme involved in the one-step"
262114_at,AT1G02860,SPX (SYG1/Pho81/XPR1) domain-containing protein / zinc finger (C3HC4-type RING finger) protein-related; similar to SPX (
262118_at,AT1G02850,glycosyl hydrolase family 1 protein; similar to glycosyl hydrolase family 1 protein [Arabidopsis thaliana] (TAIR:AT4G221
262162_at,AT1G78020,senescence-associated protein-related; similar to senescence-associated protein-related [Arabidopsis thaliana] (TAIR:AT1
262254_at,AT1G53920,"Contains lipase signature motif and GDSL domain., Contains lipase signature motif and GDSL domain."
262281_at,AT1G68570,proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) f
262315_at,AT1G70990,proline-rich family protein; similar to hydroxyproline-rich glycoprotein family protein [Arabidopsis thaliana] (TAIR:AT1
262448_at,AT1G49450,transducin family protein / WD-40 repeat family protein; similar to transducin family protein / WD-40 repeat family prot
262488_at,AT1G21830,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G44608.1); similar to Os04g0690500 [Oryza sativa (japonica cu
262507_at,AT1G11330,S-locus lectin protein kinase family protein; similar to carbohydrate binding / kinase [Arabidopsis thaliana] (TAIR:AT1G
262531_at,AT1G17230,leucine-rich repeat family protein / protein kinase family protein; similar to leucine-rich repeat transmembrane protein
262563_at,AT1G34210,Plasma membrane LRR receptor-like serine threonine kinase expressed during embryogenesis in locules until stage 6 anther
262694_at,AT1G62790,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein; similar to receptor serine/threonine kinase
262788_at,AT1G10690,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G40460.1); similar to hypothetical protein MtrDRAFT_AC146560g
262793_at,AT1G13110,"member of CYP71B, member of CYP71B"
262815_at,AT1G11610,"putative cytochrome P450, putative cytochrome P450"
262922_at,AT1G79420,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G19540.1); similar to Protein of unknown function DUF620 [Med
263081_at,AT2G27220,BLH5 (BELL1-LIKE HOMEODOMAIN 5); DNA binding / transcription factor; similar to BLH1 (BLH1) [Arabidopsis thaliana] (TAIR
263296_at,AT2G38800,calmodulin-binding protein-related; similar to calmodulin-binding protein-related [Arabidopsis thaliana] (TAIR:AT3G54570
263330_at,AT2G15320,leucine-rich repeat family protein; similar to leucine-rich repeat family protein [Arabidopsis thaliana] (TAIR:AT5G66330
263401_at,AT2G04070,"MATE efflux family protein; similar to ATDTX1, antiporter/ multidrug efflux pump/ multidrug transporter/ transporter [Ar"
263690_at,AT1G26960,Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.
263836_at,AT2G40330,Bet v I allergen family protein; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G38310.1); similar to hypoth
263841_at,AT2G36870,"xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase,"
263847_at,AT2G36970,UDP-glucoronosyl/UDP-glucosyl transferase family protein; similar to glycosyltransferase family protein [Arabidopsis tha
263867_at,AT2G36830,"encodes a tonoplast intrinsic protein, which functions as water channel. highly expressed in root, stem, cauline leaves"
263935_at,AT2G35930,U-box domain-containing protein; similar to U-box domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G52450.1); s
264083_at,AT2G31230,encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein
264091_at,AT1G79110,protein binding / zinc ion binding; similar to protein binding / zinc ion binding [Arabidopsis thaliana] (TAIR:AT3G12920
264287_at,AT1G61930,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G11700.1); similar to Protein of unknown function DUF584 [Med
264348_at,AT1G12110,"Encodes NRT1.1 (CHL1), a dual-affinity nitrate transporter. The protein is expressed in guard cells and function in stom"
264626_at,AT1G65620,"required for formation of a symmetric flat leaf lamina, encodes a member of a family of proteins characterized by cystei"
264692_at,AT1G70000,DNA-binding family protein; similar to myb family transcription factor [Arabidopsis thaliana] (TAIR:AT5G47390.1); simila
264751_at,AT1G23020,"Encodes a ferric chelate reductase whose transcription is regulated by FIT1.  Expressed in the root, shoot, flower and c"
264753_at,AT1G61490,"S-locus protein kinase, putative; similar to S-locus protein kinase, putative [Arabidopsis thaliana] (TAIR:AT1G61480.1);"
264756_at,AT1G61370,"S-locus lectin protein kinase family protein; similar to S-locus protein kinase, putative [Arabidopsis thaliana] (TAIR:A"
264777_at,AT1G08630,"Encodes a threonine aldolase, involved in threonine degradation to glycine. Primarily expressed in seeds and seedlings."
264901_at,AT1G23090,Encodes AST91 mRNA for sulfate transporter.
264960_at,AT1G76930,Encodes an Arabidopsis extensin gene that belongs to cell-wall hydroxyproline-rich glycoproteins.  The cross-link of ext
264988_at,AT1G27140,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
265028_at,AT1G24530,transducin family protein / WD-40 repeat family protein; similar to transducin family protein / WD-40 repeat family prot
265116_at,AT1G62480,vacuolar calcium-binding protein-related; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G12080.2); similar
265117_at,AT1G62500,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein; similar to CWLP (CELL WALL-PLASMA MEMBRANE
265153_at,AT1G30950,"Required for the proper identity of the floral meristem. Involved in establishing the whorled pattern of floral organs,"
265161_at,AT1G30900,"vacuolar sorting receptor, putative; Identical to Vacuolar sorting receptor 6 precursor (AtVSR6) (Epidermal growth facto"
265339_at,AT2G18230,Encodes a protein that might have inorganic pyrophosphatase activity.
265479_at,AT2G15760,calmodulin-binding protein; similar to AR781 [Arabidopsis thaliana] (TAIR:AT2G26530.2); similar to conserved hypothetica
265531_at,AT2G06200,"Growth regulating factor encoding transcription activator. One of the nine members of a GRF gene family, containing nucl"
265619_at,AT2G27320,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G38255.1); similar to hypothetical protein 25.t00048 [Brassic
265720_at,AT2G40110,yippee family protein; similar to yippee family protein [Arabidopsis thaliana] (TAIR:AT3G11230.2); similar to Protein yi
265837_at,AT2G14560,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G33840.1); similar to Protein of unknown function DUF567 [Med
265939_at,AT2G19650,DC1 domain-containing protein; similar to DC1 domain-containing protein [Arabidopsis thaliana] (TAIR:AT2G19660.1); simil
265986_at,AT2G24230,"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase,"
265993_at,AT2G24160,"pseudogene, leucine rich repeat protein family, contains leucine rich-repeat domains Pfam:PF00560, INTERPRO:IPR001611; c"
266001_at,AT2G24150,heptahelical transmembrane  protein HHP3
266120_at,AT2G02070,ATIDD5 (ARABIDOPSIS THALIANA INDETERMINATE(ID)-DOMAIN 5); nucleic acid binding / transcription factor/ zinc ion binding;
266139_at,AT2G28085,auxin-responsive family protein; similar to auxin-responsive family protein [Arabidopsis thaliana] (TAIR:AT4G34760.1); s
266140_at,AT2G28120,nodulin family protein; similar to nodulin family protein [Arabidopsis thaliana] (TAIR:AT2G39210.1); similar to nodulin
266216_at,AT2G28810,Dof-type zinc finger domain-containing protein; Identical to Dof zinc finger protein DOF2.2 (AtDOF2.2) (DOF2.2) [Arabido
266287_at,AT2G29150,"tropinone reductase, putative / tropine dehydrogenase, putative; similar to tropinone reductase, putative / tropine dehy"
266516_at,AT2G47880,glutaredoxin family protein; Identical to Glutaredoxin-C13 (AtGrxC13) (GRXC13) [Arabidopsis Thaliana] (GB:O82255); simil
266658_at,AT2G25735,unknown protein
266992_at,AT2G39200,"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resi"
267034_at,AT2G38310,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G05440.1); similar to hypothetical protein [Nicotiana tabacum
267116_at,AT2G32560,F-box family protein; similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT2G26850.1); similar to Cyclin-like
267141_at,AT2G38090,myb family transcription factor; similar to myb family transcription factor [Arabidopsis thaliana] (TAIR:AT5G58900.1); s
267367_at,AT2G44210,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G55360.1); similar to unknown protein [Arabidopsis thaliana]
267391_at,AT2G44480,glycosyl hydrolase family 1 protein; similar to glycosyl hydrolase family 1 protein [Arabidopsis thaliana] (TAIR:AT2G444
267413_at,AT2G34960,Arabidopsis thaliana amino acid permease family protein (At2g34960)
267453_at,AT2G33880,Encodes a protein with similarity to WUS type homeodomain protein. Required for meristem growth and development and acts
267496_at,AT2G30550,lipase class 3 family protein; similar to lipase class 3 family protein [Arabidopsis thaliana] (TAIR:AT1G06800.2); simil
267497_at,AT2G30540,glutaredoxin family protein; Identical to Monothiol glutaredoxin-S9 (AtGrxS9) (GRXS9) [Arabidopsis Thaliana] (GB:O04341)
267537_at,AT2G41880,Guanylate kinase. Involved in nucleotide metabolism.
267546_at,AT2G32680,disease resistance family protein; similar to disease resistance family protein / LRR family protein [Arabidopsis thalia
267559_at,AT2G45570,"member of CYP76C, member of CYP76C"
267567_at,AT2G30770,"putative cytochrome P450, putative cytochrome P450"
267610_at,AT2G26650,Shaker-like inward rectifying  potassium channel predominantly expressed in predominantly in root hairs and root endoder
267612_at,AT2G26690,"nitrate transporter (NTP2); similar to NRT1.1 (nitrate transporter 1.1), transporter [Arabidopsis thaliana] (TAIR:AT1G12"
